"ProductId;ProductName;MainCategoryId;MainCategory;SubCategoryId;SubCategory;ImageUrl;DiscountPrice;ActualPrice;Summary;ShowCase"
"11;Çocuk Renkli Tişört;2;Giyim;3;Çocuk Giyim;11.png;500;600;Çocuk Renkli Tişört, canlı renkleri ve eğlenceli desenleri ile çocukların gardırobunda enerji ve neşeyi temsil eder. Yumuşak kumaşı ve rahat kesimi, oyun ve okul ortamlarında özgür hareket imkânı sağlar.;false"
"12;Çocuk Spor Pantolonu;2;Giyim;3;Çocuk Giyim;12.png;700;850;Çocuk Spor Pantolonu, esnek yapısı ve dayanıklı kumaşı sayesinde aktif çocuklar için idealdir. Rahat kesimi ve modern tasarımı, günlük aktivitelerde konforlu kullanım sunarken hareket özgürlüğünü destekler.;false"
"13;ProCook Mikrodalga Fırın;3;Ev Aletleri;1;Mutfak Aletleri;13.png;1800;2000;ProCook Mikrodalga Fırın, modern mutfakların vazgeçilmezi olarak hızlı ısıtma, eşit pişirme ve enerji verimliliği özellikleri ile yemek hazırlık sürecini kolaylaştırır. Kullanıcı dostu kontrol paneli, pratik kullanımı destekler.;false"
"14;MixMaster 5000 Blender;3;Ev Aletleri;1;Mutfak Aletleri;14.png;1600;1800;MixMaster 5000 Blender,güçlü motoru ve çoklu hız seçenekleri ile sağlıklı içecekler, püreler ve soslar hazırlamak için idealdir. Dayanıklı yapısı ve kolay temizlenebilir parçaları, mutfakta işlevselliği artırır.;false"
"15;CleanPro Elektrikli Süpürge;3;Ev Aletleri;2;Temizlik Aletleri;15.png;2200;2500;CleanPro Elektrikli Süpürge, yüksek emiş gücü, gelişmiş filtre sistemi ve enerji verimliliği sayesinde ev temizliğinde devrim yaratır. Ergonomik tasarımı, kullanım kolaylığı ve dayanıklı yapısı ile her eve uygundur.;false"
"16;SteamPlus Buharlı Temizlik Makinesi;3;Ev Aletleri;2;Temizlik Aletleri;16.png;2100;2400;SteamPlus Buharlı Temizlik Makinesi, yüksek buhar basıncı ve derinlemesine temizlik sağlayan teknolojisi ile yüzeylerdeki kir, bakteri ve alerjenleri etkili biçimde temizler. Kullanım kolaylığı ve uzun ömürlü performansı ile öne çıkar.;false"
"17;CoolAir 3000 Klima;3;Ev Aletleri;3;Klima ve Isıtma;17.png;3500;3800;CoolAir 3000 Klima, gelişmiş soğutma teknolojisi, düşük enerji tüketimi ve sessiz çalışma özelliği ile yaz aylarında ferah bir ortam sağlar. Modern tasarımı ve kullanıcı dostu arayüzü, ev ve ofis kullanımlarında idealdir.;false"
"18;HeatWave Pro Isıtıcı;3;Ev Aletleri;3;Klima ve Isıtma;18.png;3000;3300;HeatWave Pro Isıtıcı, hızlı ısınma, verimli enerji kullanımı ve güvenlik önlemleri ile soğuk kış günlerinde konforlu sıcaklık sağlar. Sessiz çalışma ve modern tasarım özellikleri, her eve uyum sağlar.;false"
"19;Samsung Smart Fridge 500;4;Beyaz Eşya;1;Buzdolapları;19.png;8000;8500;Samsung Smart Fridge 500, geniş iç hacmi, akıllı kontrol sistemi ve enerji verimliliği ile modern mutfakların en çok tercih edilen beyaz eşyalarındandır. Yiyeceklerin tazeliğini koruyan teknolojik özellikleri ile dikkat çeker.;false"
"20;LG InstaView Fridge;4;Beyaz Eşya;1;Buzdolapları;20.png;9000;9500;LG InstaView Fridge, dokunmatik paneli ve şeffaf cam kapak tasarımı ile öne çıkar. Gelişmiş soğutma teknolojisi, enerji tasarrufu ve modern görünümü ile her mutfakta şıklığı ve işlevselliği garanti eder.;false"
"21;Bosch Serie 8 Çamaşır Makinesi;4;Beyaz Eşya;2;Çamaşır Makineleri;21.png;7000;7500;Bosch Serie 8 Çamaşır Makinesi, üstün yıkama teknolojisi, geniş kapasitesi ve sessiz çalışma özelliği ile evlerin en çok tercih edilen çamaşır makinelerindendir. Dayanıklı yapısı ve enerji verimliliği, uzun ömürlü kullanım sağlar.;false"
"22;Siemens iQ500 Çamaşır Makinesi;4;Beyaz Eşya;2;Çamaşır Makineleri;22.png;6800;7200;Siemens iQ500 Çamaşır Makinesi, yenilikçi yıkama programları, hassas kumaş modları ve düşük enerji tüketimi ile modern ailelerin ihtiyaçlarını karşılar. Estetik tasarımı ve üstün performansı ile evinizde fark yaratır.;false"
"23;Arçelik Fırınlı Ocak Seti;4;Beyaz Eşya;3;Fırın & Ocak;23.png;5500;6000;Arçelik Fırınlı Ocak Seti, çok fonksiyonlu fırın sistemi ve eşit ısı dağılımı özellikleri sayesinde profesyonel yemek pişirme deneyimi sunar. Kullanım kolaylığı, modern tasarımı ve dayanıklı yapısı ile mutfağınızda öne çıkar.;false"
"24;Vestel Ankastre Fırın;4;Beyaz Eşya;3;Fırın & Ocak;24.png;5300;5800;Vestel Ankastre Fırın, yenilikçi ısı kontrol teknolojisi, enerji verimliliği ve şık tasarımı ile mutfaklarda estetik ve işlevselliği bir arada sunar. Yemeklerin her daim mükemmel pişmesini sağlayan özellikleri ile dikkat çeker.;false"
"25;Aşk ve Gurur Romanı;5;Kitap;1;Roman;25.png;30;35;Aşk ve Gurur Romanı, derin duygusal temaları, sürükleyici anlatımı ve karakterlerin iç dünyasını ustalıkla yansıtan bir eserdir. Edebiyatın klasikleşmiş dili ve akıcı anlatımı, okuru duygusal bir yolculuğa çıkarır.;false"
"26;Kayıp Zamanın İzinde;5;Kitap;1;Roman;26.png;28;33;Kayıp Zamanın İzinde, zamanın akışını ve insan ruhunun derinliklerini keşfeden, edebiyatın en önemli klasiklerinden biri olarak sürükleyici bir hikâye sunar. Her satırında özenle işlenmiş detaylar ve duygusal derinlik mevcuttur.;false"
"27;Başarıya Giden Yol;5;Kitap;2;Kişisel Gelişim;27.png;25;30;Başarıya Giden Yol, kişisel gelişim ve motivasyon konularında kapsamlı bilgiler sunarak okuyucunun hayatında pozitif değişiklikler yapmasını destekler. Pratik örnekler, ilham verici hikâyeler ve derinlemesine analizlerle dolu bir rehber niteliğindedir.;false"
"28;Düşünce Gücü ve Farkındalık;5;Kitap;2;Kişisel Gelişim;28.png;22;27;Düşünce Gücü ve Farkındalık, zihinsel potansiyelin ortaya çıkarılmasını ve kişisel dönüşümü destekleyen yöntemlerle kaleme alınmıştır. Bilimsel temeller ve detaylı örneklerle desteklenen anlatımı, okuyucunun kendi iç dünyasını keşfetmesine olanak tanır.;false"
"29;Bilim Harikaları: Evrenden İzler;5;Kitap;3;Bilim & Teknoloji;29.png;20;25;Bilim Harikaları: Evrenden İzler, evrenin gizemlerini, modern teknolojinin yeniliklerini ve gelişmeleri detaylı şekilde ele alan, bilgi dolu ve aydınlatıcı bir eserdir. Okuyucuya evrensel perspektifte düşünme imkânı sunar.;false"
"30;Teknoloji ve Gelecek Vizyonu;5;Kitap;3;Bilim & Teknoloji;30.png;18;23;Teknoloji ve Gelecek Vizyonu, modern dünyanın hızla değişen trendlerini, bilimsel veriler ışığında geleceğe dair öngörüleri ve teknolojinin insan yaşamına etkilerini kapsamlı bir bakış açısıyla analiz eder. İlham verici ve düşündürücü bir perspektif sunar.;false"
